stage,weight_n,mass_kg,drag_scale,linear_drag,cda,free_steps,periods_total,periods_free,final_vx,final_vy,final_vz,final_speed,last_mean_vx,last_mean_vy,last_mean_vz,prev_mean_vz,last2_mean_vx,last2_mean_vy,last2_mean_vz,prev2_mean_vz,dvz_last_period,dvz_last2_periods,last_mean_alpha,dalpha_last_period,last_mean_pitch,pitch_span,score
refined,0.02,0.002039432425955857,0.25,0.00075,0.0005,192,12.0,8.0,1.471357752195323e-14,4.1918349464245725,-0.3932270849581669,4.210238444365236,9.474731105828704e-15,4.206268656333021,-0.1067221827002165,-0.09467502130393506,6.6469898140806374e-15,4.1641184131317965,-0.10069860200207577,-0.06809589110421675,-0.012047161396281439,-0.032602710897859016,3.6130939203291934,-0.1475551393236718,5.000000000000001,1.7763568394002505e-15,0.12515063517547004
refined,0.02,0.002039432425955857,0.5,0.0015,0.001,192,12.0,8.0,5.947600718514174e-15,3.08868710777028,-0.13386258774615364,3.0915865250877963,6.024954788564452e-15,3.117239089520059,0.052653750962141976,0.05532913205115996,5.770794189041572e-15,3.1093772210243533,0.05399144150665098,0.06237432397230641,-0.002675381089017985,-0.008382882465655432,6.056870577281178,-0.058248815002258425,5.0,2.6645352591003757e-15,0.06027860335589255
refined,0.02,0.002039432425955857,0.875,0.002625,0.00175,192,12.0,8.0,2.14201644489974e-14,2.2807417119178672,0.06597986217452818,2.281695882166292,1.6950168381802053e-14,2.304974656467094,0.18447721277956283,0.18405033752589786,1.3914004314418226e-14,2.3060849083620787,0.1842637751527304,0.18260305789881648,0.00042687525366497114,0.0016607172539139237,9.716701157908327,0.01611044824907104,5.0,2.6645352591003757e-15,0.18550931309316585
refined,0.02,0.002039432425955857,1.25,0.00375,0.0025,192,12.0,8.0,3.634033038480686e-13,1.845367158508063,0.17405571953099133,1.8535574831122918,2.499669415163203e-13,1.8637000633046314,0.25610350823014993,0.2555497408415252,1.8306256410630843e-13,1.865113238319107,0.2558266245358376,0.25309383075983755,0.0005537673886247263,0.002732793776000053,13.017115557706925,0.030947280155892543,5.0,2.6645352591003757e-15,0.25787621986783765
refined,0.025,0.002549290532444821,0.25,0.00075,0.0005,192,12.0,8.0,-5.4879510040992957e-14,4.063554129173049,-0.2950952428802915,4.07425494576492,-3.448625355669758e-14,4.066578132585076,-0.01762744381329922,-0.0029794894438429573,-2.418843584305316e-14,4.021867079751556,-0.010303466628571073,0.02784152161255297,-0.014647954369456262,-0.03814498824112404,4.808698226018932,-0.21361255709115134,5.0,2.6645352591003757e-15,0.0389122078094141
refined,0.025,0.002549290532444821,0.5,0.0015,0.001,192,12.0,8.0,-1.1063320613991358e-14,3.109547323955918,-0.055581298337800095,3.110044025515769,-7.233262022128008e-15,3.128194207051997,0.13395423886690758,0.13796657636958956,-3.706783529348005e-15,3.117976774457136,0.1359604076182486,0.14783089950960038,-0.004012337502681984,-0.011870491891351781,7.5231529400653185,-0.0936617349587694,5.0,1.7763568394002505e-15,0.14486327653676243
refined,0.025,0.002549290532444821,0.875,0.002625,0.00175,192,12.0,8.0,-2.0057257957585074e-15,2.3628425301133382,0.13959297104727425,2.3669624035202177,-5.256533998765637e-16,2.3787485426615254,0.266992836030222,0.26656910168326997,5.77906933819855e-16,2.3796974781585813,0.26678096885674607,0.26526862572185855,0.0004237343469520316,0.0015123431348875171,11.509406155211744,0.01584716342857817,5.0,2.6645352591003757e-15,0.2679152262079117
refined,0.025,0.002549290532444821,1.25,0.00375,0.0025,192,12.0,8.0,-2.7315588769660573e-14,1.9424676986901708,0.24784680149504645,1.9582157178069053,-1.884758137010705e-14,1.9525520313115814,0.34218068904642696,0.3412586453580873,-1.3167390185719835e-14,1.9544584295898284,0.3417196672022571,0.3376883079941442,0.0009220436883396466,0.004031359208112928,15.080341115995182,0.047538365528632553,5.0,2.6645352591003757e-15,0.3447431866083418
refined,0.04,0.004078864851911714,0.25,0.00075,0.0005,192,12.0,8.0,-1.4125632594751752e-15,3.9227337167313134,0.014467477425572112,3.9227603954720105,7.507890886119983e-16,3.899075943249892,0.2294559896843381,0.2506327275840225,3.531659235161876e-15,3.852716670030801,0.2400443586341803,0.2941901028512844,-0.021176737899684384,-0.05414574421710408,8.40471117554131,-0.4048409245403981,5.0,1.7763568394002505e-15,0.28065366679700837
refined,0.04,0.004078864851911714,0.5,0.0015,0.001,192,12.0,8.0,-1.6314922127651616e-14,3.247678647508527,0.19569089684670687,3.2535690440793603,-1.0801343279732822e-14,3.2411312377080566,0.3597642399708212,0.369116499957439,-5.121605236083056e-15,3.2238098863838025,0.3644403699641301,0.3907860116356623,-0.009352259986617817,-0.026345641671532194,11.375568828103937,-0.23628316889747225,5.000000000000001,2.6645352591003757e-15,0.38419960121777924
