weight_n,drag_scale,linear_drag,cda,last_mean_vy,last_mean_vz,last2_mean_vy,last2_mean_vz,dvz_last_period,dvz_last2_periods,last_mean_alpha,last_mean_pitch,final_vy,final_vz,score
0.0235,0.35,0.00105,0.0007,3.7783836278945953,0.0030220030547837896,3.7776569271777745,0.0031416136648977845,-0.00023922122022799596,-0.0006570418872587748,5.093132171508086,5.0,3.7406791111792184,-0.2411442685507977,0.0036343950803418654
0.0215,0.4,0.0012000000000000001,0.0008,3.541761280684938,0.00992852685843751,3.5414639569446535,0.009977163427481102,-9.727313808724145e-05,-0.0002807986931595025,5.220333468470631,5.0,3.504070650106193,-0.21338649328635353,0.010187762447350729
0.0225,0.35,0.00105,0.0007,3.782352966331814,-0.012053922349048509,3.7817149794359946,-0.01195145617592668,-0.0002049323462436567,-0.0005686476043285198,4.866995222669594,5.0,3.7430470255201294,-0.2568952994037749,0.012377941879173071
0.0245,0.35,0.00105,0.0007,3.7747268735207657,0.01811090462046998,3.7739125737521175,0.018248180802683825,-0.0002745523644276937,-0.0007473522380499302,5.320086556671844,5.0,3.7387023377137423,-0.22460911253643534,0.01880869498122127
0.0225,0.4,0.0012000000000000001,0.0008,3.541522040603137,0.02510124424738178,3.541172605163292,0.025159905148412254,-0.00011732180206098716,-0.0003345835649241277,5.462877084593097,5.000000000000001,3.5053153473506504,-0.19878697056626313,0.025410842822105352
0.0215,0.35,0.00105,0.0007,3.7862922490495787,-0.027055942390112924,3.7857431808968385,-0.026969937999456906,-0.0001720087813120129,-0.00048291473973586727,4.642646658743083,5.0,3.7455131221343616,-0.27155651918973545,0.027332124054258805
0.0235,0.4,0.0012000000000000001,0.0008,3.541395106374779,0.04029955028683722,3.5409926448610634,0.04036883950501013,-0.00013857843634581396,-0.00039102713130920175,5.706055594523472,5.0,3.506772391379156,-0.18325254188300222,0.04066210985349203
0.0215,0.45,0.00135,0.0009000000000000001,3.3346498787462107,0.042175409273334595,3.33448974958573,0.04220269207067582,-5.456559468246247e-05,-0.00016184711768037902,5.792019744322112,5.0,3.2996433986903337,-0.16360756640109617,0.0423240774089361
0.0245,0.4,0.0012000000000000001,0.0008,3.5416476031648663,0.05547128635909482,3.541191722204669,0.05555172233784806,-0.00016087195750649763,-0.0004497121944698687,5.948897414101784,5.0,3.5086654110368247,-0.16705302863298332,0.05588900648370046
0.0225,0.45,0.00135,0.0009000000000000001,3.3373829609524104,0.05752519237066619,3.3371926023103735,0.05755849413394714,-6.660352656188279e-05,-0.00019510335209130952,6.05149767443871,5.0,3.303883414136268,-0.14902059600690662,0.057704821648015624
0.0215,0.5,0.0015,0.001,3.156452798438526,0.07060227907274198,3.156367924314079,0.0706173312791308,-3.0104412777592904e-05,-9.166317878636643e-05,6.356429204306198,5.0,3.123812151597027,-0.12031764115778763,0.07068607866322058
0.0235,0.45,0.00135,0.0009000000000000001,3.3403112616938304,0.07286246816602841,3.340089535530526,0.07290226707952417,-7.95978269916009e-05,-0.00023062921675071069,6.310475146834871,5.0,3.308393915450043,-0.1336210996672886,0.0730752389920872
0.0225,0.5,0.0015,0.001,3.161625937943665,0.08612625299464961,3.1615237851739977,0.08614485289497122,-3.719980064334494e-05,-0.0001118455441850158,6.631628340257815,5.0,3.130519035152976,-0.10572520004997887,0.08622873705310997
0.0245,0.45,0.00135,0.0009000000000000001,3.3436473184904387,0.08814196780936982,3.3433933612793503,0.08818870303621629,-9.347045369295648e-05,-0.0002682220964011356,6.567995225786304,5.0,3.313349270743583,-0.11764995746199385,0.08838986960851714
0.0235,0.5,0.0015,0.001,3.1670375246609255,0.10160742888314452,3.1669170716172848,0.10162993153792378,-4.500530955856008e-05,-0.00013381404577170186,6.905225130519249,5.0,3.13751818942862,-0.09041709522114429,0.10173029207225256
0.0245,0.5,0.0015,0.001,3.172860045501153,0.1170060494627717,3.1727203982774266,0.11703279752444486,-5.349612334629161e-05,-0.0001574969567298412,7.1762886391118315,5.0,3.144948529167781,-0.07461066504629903,0.11715092024199224
