stage,weight_n,mass_kg,drag_scale,linear_drag,cda,free_steps,periods_total,periods_free,final_vx,final_vy,final_vz,final_speed,last_mean_vx,last_mean_vy,last_mean_vz,prev_mean_vz,last2_mean_vx,last2_mean_vy,last2_mean_vz,prev2_mean_vz,dvz_last_period,dvz_last2_periods,last_mean_alpha,dalpha_last_period,last_mean_pitch,pitch_span,score
coarse,0.04,0.004078864851911714,0.5,0.0015,0.001,192,12.0,8.0,-1.6314922127651616e-14,3.247678647508527,0.19569089684670687,3.2535690440793603,-1.0801343279732822e-14,3.2411312377080566,0.3597642399708212,0.369116499957439,-5.121605236083056e-15,3.2238098863838025,0.3644403699641301,0.3907860116356623,-0.009352259986617817,-0.026345641671532194,11.375568828103937,-0.23628316889747225,5.000000000000001,2.6645352591003757e-15,0.38419960121777924
coarse,0.04,0.004078864851911714,1.0,0.003,0.002,192,12.0,8.0,3.7668315734051915e-14,2.477438497076058,0.4076913711409519,2.510759598387959,2.5868182568218486e-14,2.4738983315377716,0.5209168355558685,0.5215202236998987,2.2797582930770354e-14,2.473065730258313,0.5212185296278837,0.5232691256637051,-0.0006033881440301592,-0.0020505960358213615,16.94858619134656,-0.021512742496668125,5.000000000000001,1.7763568394002505e-15,0.5227564766547498
coarse,0.04,0.004078864851911714,1.5,0.0045000000000000005,0.003,192,12.0,8.0,2.0756452368118303e-15,2.0389637784237515,0.5207710611228784,2.1044181589758035,4.019711475613581e-15,2.0312290609208383,0.608291037926754,0.6072178907175924,3.951263268526224e-15,2.032664972692416,0.6077544643221732,0.6031413755003096,0.001073147209161629,0.00461308882186362,21.74471958992,0.050950642740232865,5.000000000000001,1.7763568394002505e-15,0.6112142809385709
coarse,0.04,0.004078864851911714,2.0,0.006,0.004,192,12.0,8.0,1.994816716375513e-14,1.7455311586781255,0.5850413833210998,1.8409650855229345,1.6014778937891606e-14,1.734263451441848,0.6563113962188477,0.6553270156016752,1.2977112301806687e-14,1.7355147055158346,0.6558192059102613,0.6504630933255796,0.0009843806171725422,0.005356112584681716,25.812258593636557,0.0569300374218642,5.0,1.7763568394002505e-15,0.6598362903487727
coarse,0.04,0.004078864851911714,3.0,0.009000000000000001,0.006,192,12.0,8.0,9.10364803222804e-15,1.3614398518947035,0.6422773158283422,1.5053367134148865,8.467083019577329e-15,1.3466997707742234,0.6927163365701209,0.6924672671292744,8.574707721600811e-15,1.347172342567328,0.6925918018496976,0.6896234760967602,0.0002490694408464611,0.002968325752937373,32.306407298975294,0.025469512733849342,5.0,2.6645352591003757e-15,0.6948180461644007
coarse,0.07,0.007138013490845499,0.5,0.0015,0.001,192,12.0,8.0,-2.1822649932868047e-13,3.661499214343774,0.5971552269397636,3.7098747770917493,-1.5293144474991357e-13,3.6241994070083083,0.7316553853982045,0.7610940108226111,-1.0963884863435492e-13,3.587217126022947,0.7463746981104076,0.8257357055960738,-0.02943862542440656,-0.07936100748566621,16.435304052415507,-0.6904176411797067,5.0,2.6645352591003757e-15,0.8058954537246572
coarse,0.07,0.007138013490845499,1.0,0.003,0.002,192,12.0,8.0,5.395708227985658e-14,3.0066531912003205,0.7786556602361273,3.1058441766084837,3.5436153082994046e-14,2.9829165494596492,0.8821395010711783,0.8961985291209645,2.4787623616402775e-14,2.968455382538215,0.8891690150960713,0.9292146501123727,-0.014059028049786204,-0.04004563501630143,21.498990790292982,-0.4050104277530693,5.0,1.7763568394002505e-15,0.9192032413582973
coarse,0.07,0.007138013490845499,1.5,0.0045000000000000005,0.003,192,12.0,8.0,2.7313957667408975e-14,2.569068245200971,0.8918479063384653,2.719467656829237,1.5515721881999605e-14,2.5479211462252516,0.9771901704452167,0.9838868682326064,1.4520525472262064e-14,2.5416671650469165,0.9805385193389115,0.9989578276223193,-0.006696697787389683,-0.018419308283407876,26.01040327738015,-0.22757492185236572,5.000000000000001,2.6645352591003757e-15,0.9943530005514674
coarse,0.07,0.007138013490845499,2.0,0.006,0.004,192,12.0,8.0,4.659092157683827e-15,2.2492563043874236,0.9634227908762333,2.4469036345566044,3.441291702885253e-15,2.2277700350792053,1.036636792427095,1.0397735895101383,1.1140428420833851e-15,2.2246747540633165,1.038205190968617,1.0446777135966208,-0.0031367970830433745,-0.006472522628003796,29.98302159327831,-0.12830291857919818,5.0,2.6645352591003757e-15,1.0430595829396199
coarse,0.07,0.007138013490845499,3.0,0.009000000000000001,0.006,192,12.0,8.0,4.142785640877643e-15,1.8006583674472154,1.034668085306066,2.0767543434428135,5.66470919401894e-15,1.7774483803944687,1.0917701000056554,1.0923494758784231,7.419939251627256e-15,1.7761846392539271,1.0920597879420393,1.088595589132622,-0.0005793758727676845,0.003464198809417285,36.58822960348996,-0.05034481315890105,5.0,1.7763568394002505e-15,1.0946579370491023
coarse,0.1,0.010197162129779284,0.5,0.0015,0.001,192,12.0,8.0,-1.5329676877777032e-13,4.050334980131056,0.9313029870023425,4.156024386943937,-1.0349891809028818e-13,3.988274516181509,1.0581142315002925,1.1168597775317008,-6.995242447473028e-14,3.9268454100230668,1.0874870045159966,1.2281223181294714,-0.05874554603140836,-0.1406353136134748,19.87517729266781,-1.2625296370915784,5.0,1.7763568394002505e-15,1.1929634897261026
coarse,0.1,0.010197162129779284,1.0,0.003,0.002,192,12.0,8.0,1.8042961423783795e-13,3.448430149752912,1.0917186224620459,3.6171148790652636,1.3136152548106566e-13,3.4060674909070046,1.1937559443137296,1.2313351608424872,1.0254455295010193e-13,3.371099384588424,1.2125455525781086,1.3023105743776167,-0.03757921652875762,-0.08976502179950807,24.330762057141072,-0.9480414829845678,5.0,2.6645352591003757e-15,1.2798693189277397
