stage,rank_seed,weight_n,mass_kg,drag_scale,linear_drag,cda,free_steps,periods_total,periods_free,final_vx,final_vy,final_vz,final_speed,last_mean_vx,last_mean_vy,last_mean_vz,prev_mean_vz,last2_mean_vx,last2_mean_vy,last2_mean_vz,prev2_mean_vz,dvz_last_period,dvz_last2_periods,last_mean_alpha,dalpha_last_period,last_mean_pitch,pitch_span,score
long,1,0.025,0.002549290532444821,0.25,0.00075,0.0005,480,24.0,20.0,-2.301752611735723e-09,4.347056391242695,-0.3670948858605592,4.36252884504721,-1.5269973538499302e-09,4.3896057782038325,-0.06858149245293614,-0.06773718020998926,-1.0755406254472983e-09,4.386854939424252,-0.06815933633146269,-0.06599268304954002,-0.0008443122429468847,-0.0021666532819226703,4.136969368201057,-0.01028225598883381,5.0,2.6645352591003757e-15,0.0697843262929047
long,2,0.02,0.002039432425955857,0.5,0.0015,0.001,480,24.0,20.0,-5.954927529039045e-12,3.113843947433303,-0.1402487352213789,3.1170007758578135,-4.1668997471976476e-12,3.148584044645162,0.04734807220048931,0.04736893080056007,-3.0606553622041474e-12,3.148522814285147,0.04735850150052468,0.0474234454207182,-2.0858600070762512e-05,-6.494392019351647e-05,5.943055695512548,-0.00044241684408508064,5.0,2.6645352591003757e-15,0.04740720944066982
long,3,0.02,0.002039432425955857,0.25,0.00075,0.0005,480,24.0,20.0,4.392668244462262e-10,4.413544459576241,-0.445590301694912,4.435980772458408,2.84802334424897e-10,4.464129396700158,-0.1426947603171598,-0.1422746399254016,1.9769668555073695e-10,4.462597773432342,-0.1424847001212807,-0.14135188883746294,-0.00042012039175820526,-0.0011328112838177584,3.2089078553374595,-0.004423605149491028,5.0,2.6645352591003757e-15,0.14333430858414403
long,4,0.025,0.002549290532444821,0.5,0.0015,0.001,480,24.0,20.0,-9.5424924744926e-11,3.148855804405686,-0.06657578756753298,3.149559526732209,-6.811587584763173e-11,3.175963925335657,0.12466430312744044,0.12472229552039926,-5.0772078721967595e-11,3.175814377216255,0.12469329932391986,0.12486326384363117,-5.799239295882497e-05,-0.00016996451971131032,7.310620259311231,-0.0013072250399064345,5.0,2.6645352591003757e-15,0.12482077271370334
